                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1754,                 3.6082,                 1.5089,                0.62776,                0.30677,                0.31984,                0.20032,                 1.3506,                 2.5445,                 1.8435,              0.0033269,              0.0033269,              0.0033269
                      2,                 1.2152,                 2.5211,                 1.5169,                0.66329,                0.48514,                 0.4957,                0.33461,                 1.3158,                 2.3737,                 1.7983,              0.0066437,              0.0066437,              0.0066437
                      3,                 1.2781,                 2.3341,                  1.558,                0.59334,                0.49845,                0.48976,                0.30941,                 1.3715,                 2.4289,                 1.8644,              0.0099441,              0.0099441,              0.0099441
                      4,                 1.3462,                 2.2833,                 1.6113,                0.61001,                0.43002,                0.44292,                0.27113,                 1.4909,                 2.0775,                   2.04,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.3055,                 2.0059,                 1.5895,                0.48724,                0.52404,                0.45999,                0.30061,                 1.4769,                 2.1096,                 1.9727,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.2928,                 1.8516,                  1.577,                 0.7222,                0.51826,                0.57707,                0.39259,                 1.3238,                 1.5577,                  1.778,               0.009901,               0.009901,               0.009901
                      7,                 1.2487,                 1.6749,                  1.536,                0.72796,                0.55687,                0.65493,                0.47032,                 1.2146,                 1.3346,                 1.6734,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.2269,                 1.5832,                 1.5207,                0.61199,                  0.554,                0.60205,                0.41992,                  1.355,                 1.4126,                 1.8166,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.1963,                 1.4765,                 1.4839,                0.59478,                0.60905,                0.63674,                0.46883,                 1.2313,                 1.3988,                 1.6645,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.1735,                 1.4129,                 1.4616,                0.83604,                0.55201,                0.64071,                0.46189,                 1.2379,                 1.2446,                 1.6999,               0.009802,               0.009802,               0.009802
                     11,                 1.1616,                 1.3631,                 1.4584,                0.68909,                0.69587,                0.66261,                0.48042,                 1.2307,                 1.1366,                  1.651,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.1162,                 1.2957,                 1.4284,                0.75601,                0.68905,                 0.7072,                0.50054,                  1.176,                 1.1116,                 1.6072,              0.0097525,              0.0097525,              0.0097525
                     13,                  1.117,                 1.2719,                 1.4217,                0.83103,                0.66301,                0.72835,                0.51178,                 1.1865,                 1.1106,                 1.6024,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.0994,                 1.2222,                 1.4089,                 0.8223,                0.68503,                0.73375,                0.52906,                 1.1227,                0.97716,                 1.5575,               0.009703,               0.009703,               0.009703
                     15,                 1.0977,                 1.1919,                 1.4088,                0.83759,                0.67312,                 0.7439,                0.55741,                 1.1266,                0.99687,                   1.54,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.0813,                 1.1735,                  1.398,                0.80578,                0.71828,                 0.7688,                0.57008,                 1.0952,                0.96889,                 1.4872,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.0681,                 1.1358,                 1.3883,                0.84463,                0.70565,                0.75716,                0.56138,                  1.122,                0.96514,                 1.5544,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.0645,                 1.1261,                 1.3828,                0.79707,                0.67128,                0.73553,                0.54625,                 1.1158,                0.99417,                 1.5378,               0.009604,               0.009604,               0.009604
                     19,                 1.0393,                 1.0948,                 1.3648,                0.80307,                0.69182,                  0.743,                0.55686,                 1.1024,                0.95303,                 1.5199,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.0319,                 1.0834,                 1.3554,                0.81761,                0.70515,                  0.766,                0.56386,                 1.0983,                0.91466,                 1.5176,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.0266,                 1.0521,                 1.3515,                0.82972,                0.69681,                0.75677,                0.55518,                 1.0928,                0.91893,                 1.4782,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.0234,                 1.0305,                 1.3496,                0.81521,                0.76613,                0.78674,                0.57163,                 1.0744,                0.89405,                  1.506,               0.009505,               0.009505,               0.009505
