                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3225,                 1.5187,                 2.0592,                 1.3026,                0.75458,                0.56083,                0.60957,                0.44544,                0.71648,                0.48101,                0.49994,                0.22647,                0.97025,                0.57409,                 1.2079,                  1.147,             0.00041365,             0.00041365,             0.00041365
                      2,                 1.0122,                0.81023,                 1.0997,                 1.0596,                0.90854,                0.65822,                0.70395,                0.52585,                0.90596,                0.59178,                 0.6224,                0.30116,                0.90857,                0.51371,                0.88776,                 1.1035,              0.0008262,              0.0008262,              0.0008262
                      3,                0.98053,                0.75628,                0.94648,                 1.0442,                0.95577,                0.67075,                0.74103,                0.52797,                0.91775,                0.61703,                0.63581,                0.29099,                  1.029,                0.47977,                 0.7862,                 1.1662,              0.0012346,              0.0012346,              0.0012346
                      4,                0.95868,                0.73219,                0.86398,                 1.0388,                0.94937,                0.69465,                0.75936,                0.57893,                0.94044,                0.64787,                0.68318,                 0.3391,                0.84638,                0.41677,                0.70191,                 1.0528,              0.0012314,              0.0012314,              0.0012314
                      5,                0.92295,                0.69499,                0.81138,                 1.0218,                0.90194,                0.69503,                0.85317,                0.66002,                0.87321,                0.65402,                0.74726,                 0.3721,                0.81707,                0.38263,                0.67449,                 1.0351,              0.0012314,              0.0012314,              0.0012314
                      6,                0.88698,                0.67443,                 0.7672,                 1.0096,                0.88048,                0.85566,                0.92077,                0.72996,                0.83756,                0.79962,                0.82882,                0.39601,                 0.7585,                0.38355,                0.58903,                 1.0145,              0.0012252,              0.0012252,              0.0012252
                      7,                0.89006,                0.65459,                0.69833,                 1.0104,                0.93765,                0.87175,                0.93042,                0.72466,                0.86493,                0.81619,                0.82403,                0.40332,                0.77485,                0.35028,                0.54232,                 1.0094,              0.0012191,              0.0012191,              0.0012191
                      8,                0.85506,                0.60897,                0.66432,                 1.0026,                 0.9288,                0.90963,                0.94907,                0.74283,                0.84339,                0.79804,                0.78991,                0.38585,                0.74237,                0.36642,                0.51553,                 1.0042,              0.0012129,              0.0012129,              0.0012129
                      9,                0.84787,                0.61168,                0.63296,                0.99365,                 0.9342,                0.90288,                0.94913,                0.76744,                 0.8499,                0.81106,                0.80423,                0.40974,                0.70824,                0.36083,                0.50494,                0.99586,              0.0012067,              0.0012067,              0.0012067
                     10,                0.83613,                0.58721,                0.61818,                0.99776,                0.91865,                0.91137,                0.94438,                0.76683,                0.90609,                0.86328,                0.89012,                0.45312,                0.71013,                0.32859,                0.47364,                0.99038,              0.0012005,              0.0012005,              0.0012005
                     11,                 0.8322,                0.60395,                0.60105,                0.99216,                0.92953,                0.90271,                0.93704,                0.73955,                0.86061,                0.84999,                0.84184,                0.45281,                0.76388,                0.31614,                0.47673,                 1.0177,              0.0011943,              0.0011943,              0.0011943
                     12,                0.80798,                0.57084,                0.57858,                 0.9849,                0.93699,                0.87767,                0.95862,                0.77613,                0.88792,                0.82774,                0.88516,                 0.4715,                0.71645,                0.32363,                0.45456,                0.99576,              0.0011881,              0.0011881,              0.0011881
                     13,                0.81523,                0.57482,                0.58244,                0.98482,                0.88059,                0.93236,                0.95725,                0.78876,                0.83367,                0.86957,                0.86511,                0.44722,                0.68054,                0.33265,                0.43932,                0.96868,              0.0011819,              0.0011819,              0.0011819
                     14,                0.81522,                0.57259,                0.56839,                0.98566,                 0.9302,                0.90026,                0.95151,                0.78059,                0.92148,                0.84819,                0.89859,                0.44764,                0.68955,                0.32234,                 0.4812,                0.97951,              0.0011757,              0.0011757,              0.0011757
                     15,                0.77394,                0.56467,                0.54088,                 0.9713,                 0.9437,                0.91219,                0.96628,                0.77411,                0.89075,                 0.8689,                0.88717,                0.45614,                0.70871,                0.31637,                 0.4459,                0.99261,              0.0011696,              0.0011696,              0.0011696
                     16,                  0.778,                0.56708,                0.54698,                0.97522,                0.92763,                0.92622,                0.96812,                0.79334,                0.87932,                0.88693,                0.89743,                0.50115,                0.69794,                0.29825,                0.41599,                0.98212,              0.0011634,              0.0011634,              0.0011634
                     17,                 0.7785,                 0.5615,                0.53545,                0.97114,                0.94843,                0.91108,                0.96194,                0.80362,                0.91732,                0.88045,                0.90554,                0.47662,                0.65329,                0.30328,                 0.4402,                0.96444,              0.0011572,              0.0011572,              0.0011572
                     18,                 0.7826,                0.56228,                0.53465,                0.97293,                0.90741,                0.92214,                0.95662,                0.78435,                0.88077,                0.89073,                0.90854,                0.48138,                0.68427,                0.30176,                0.41174,                0.97544,               0.001151,               0.001151,               0.001151
                     19,                0.77168,                0.55013,                0.52275,                0.96857,                0.93972,                0.93651,                0.97066,                0.80761,                 0.8844,                0.88009,                0.87059,                0.47423,                0.65351,                0.30632,                 0.4075,                0.96092,              0.0011448,              0.0011448,              0.0011448
                     20,                0.75983,                0.55263,                0.51263,                0.97184,                0.95783,                0.91409,                0.97568,                0.82345,                0.94463,                0.90096,                 0.9527,                 0.5125,                0.63484,                0.29423,                 0.3858,                0.94917,              0.0011386,              0.0011386,              0.0011386
                     21,                0.76221,                0.54817,                0.51017,                0.96865,                0.96608,                0.93256,                0.96578,                0.80754,                 0.9154,                0.87987,                0.88778,                0.48656,                0.62547,                0.29518,                0.39284,                0.94423,              0.0011324,              0.0011324,              0.0011324
                     22,                 0.7559,                0.53538,                0.50125,                0.96478,                0.96482,                0.92436,                0.98273,                0.82598,                 0.9293,                0.89227,                0.92928,                  0.513,                  0.641,                0.29068,                0.37597,                0.95471,              0.0011263,              0.0011263,              0.0011263
