                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3173,                 2.8995,                 2.1327,                  1.604,                0.57068,                0.50179,                0.52095,                0.27675,                0.59616,                 0.4767,                 0.4923,                0.23807,                 1.5452,                 3.5575,                 2.8644,                 2.1624,             0.00065979,             0.00065979,             0.00065979
                      2,                  1.277,                 2.0509,                 1.6512,                 1.5225,                 0.5417,                0.57706,                0.50885,                0.20674,                0.51932,                0.53405,                0.47381,                0.19974,                 1.7026,                 2.9657,                 2.3612,                 2.3849,              0.0013199,              0.0013199,              0.0013199
                      3,                 1.2283,                 1.8911,                 1.4731,                 1.5064,                0.45977,                0.52773,                0.43478,                0.18446,                0.46284,                0.51254,                 0.4037,                0.15992,                  1.853,                  2.886,                 2.3582,                 2.1977,              0.0019734,              0.0019734,              0.0019734
                      4,                 1.3139,                 1.9282,                 1.4775,                 1.5618,                0.58947,                0.46953,                0.52868,                0.24923,                0.54355,                 0.4823,                0.50395,                0.22443,                 1.6082,                 2.7667,                 2.3415,                 2.0706,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.2139,                 1.8455,                 1.3418,                 1.4847,                0.53047,                0.55883,                0.52484,                0.27308,                0.49717,                0.46237,                0.41979,                0.17279,                  1.596,                  3.152,                 1.9627,                 1.9797,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.2007,                 1.8053,                 1.2381,                 1.4672,                0.61399,                0.59498,                0.58985,                0.30613,                0.62878,                0.60932,                 0.5877,                0.31148,                 1.4896,                 2.1254,                 1.8317,                 1.9849,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.1539,                 1.7848,                 1.2024,                 1.4357,                0.75506,                0.71685,                  0.714,                0.40725,                0.73255,                0.62366,                0.61583,                0.33921,                 1.4658,                 2.2792,                 1.5142,                 1.8052,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.0819,                 1.6911,                 1.0994,                 1.3936,                0.83284,                0.71431,                0.79284,                0.48951,                0.80338,                0.68833,                0.74798,                0.45374,                 1.4034,                  2.225,                 1.2816,                 1.7995,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.0714,                 1.7179,                 1.0611,                 1.3619,                0.79851,                0.69176,                0.76625,                0.45628,                0.73775,                0.69892,                0.74974,                0.43943,                 1.3097,                 2.0974,                 1.3769,                 1.7156,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.0396,                 1.6467,                 1.0478,                 1.3773,                0.89382,                0.76344,                0.84964,                0.53135,                0.89128,                0.75269,                0.82599,                0.54171,                 1.2436,                 2.0653,                 1.1295,                  1.582,              0.0019208,              0.0019208,              0.0019208
